time,current_count,num_tracked,num_persons_in,previous_count,total_count,stay_time,mean_stay_time,infer_time,process_time,result
18:47:14,0,0,0,0,0,0,0,0.133774995803833,1.6689300537109375e-06,[]
18:47:14,0,0,0,0,0,0,0,0.13632822036743164,2.86102294921875e-06,[]
18:47:14,0,0,0,0,0,0,0,0.24270033836364746,2.384185791015625e-06,[]
18:47:14,0,0,0,0,0,0,0,0.2437443733215332,2.6226043701171875e-06,[]
18:47:15,0,0,0,0,0,0,0,0.14256548881530762,2.384185791015625e-06,[]
18:47:15,0,0,0,0,0,0,0,0.24959540367126465,2.6226043701171875e-06,[]
18:47:15,0,0,0,0,0,0,0,0.16222620010375977,2.6226043701171875e-06,[]
18:47:16,0,0,0,0,0,0,0,0.24698972702026367,2.86102294921875e-06,[]
18:47:16,0,0,0,0,0,0,0,0.24616146087646484,2.6226043701171875e-06,[]
18:47:16,0,0,0,0,0,0,0,0.1789686679840088,1.7404556274414062e-05,[]
18:47:16,0,0,0,0,0,0,0,0.14507675170898438,2.384185791015625e-06,[]
18:47:17,0,0,0,0,0,0,0,0.24364542961120605,2.6226043701171875e-06,[]
18:47:17,0,0,0,0,0,0,0,0.14461684226989746,2.384185791015625e-06,[]
18:47:17,0,0,0,0,0,0,0,0.253645658493042,2.6226043701171875e-06,[]
18:47:17,0,0,0,0,0,0,0,0.1708083152770996,2.86102294921875e-06,[]
18:47:18,0,0,0,0,0,0,0,0.15856385231018066,2.86102294921875e-06,[]
18:47:18,0,0,0,0,0,0,0,0.23330116271972656,2.86102294921875e-06,[]
18:47:18,0,0,0,0,0,0,0,0.15080666542053223,2.384185791015625e-06,[]
18:47:18,0,0,0,0,0,0,0,0.1569676399230957,2.86102294921875e-06,[]
18:47:19,0,0,0,0,0,0,0,0.2555103302001953,2.6226043701171875e-06,[]
18:47:19,0,0,0,0,0,0,0,0.16918206214904785,3.0994415283203125e-06,[]
18:47:19,0,0,0,0,0,0,0,0.152756929397583,2.6226043701171875e-06,[]
18:47:19,0,0,0,0,0,0,0,0.25101709365844727,2.86102294921875e-06,[]
18:47:20,0,0,0,0,0,0,0,0.23952651023864746,2.6226043701171875e-06,[]
18:47:20,0,0,0,0,0,0,0,0.24639010429382324,3.337860107421875e-06,[]
18:47:20,0,0,0,0,0,0,0,0.17308902740478516,2.86102294921875e-06,[]
18:47:21,0,0,0,0,0,0,0,0.16391515731811523,2.86102294921875e-06,[]
18:47:21,0,0,0,0,0,0,0,0.2515296936035156,3.0994415283203125e-06,[]
18:47:21,0,0,0,0,0,0,0,0.1565864086151123,2.86102294921875e-06,[]
18:47:21,0,0,0,0,0,0,0,0.17163777351379395,2.86102294921875e-06,[]
18:47:22,0,0,0,0,0,0,0,0.2528190612792969,2.6226043701171875e-06,[]
18:47:22,0,0,0,0,0,0,0,0.23527264595031738,2.6226043701171875e-06,[]
18:47:22,0,0,0,0,0,0,0,0.24784350395202637,2.384185791015625e-06,[]
18:47:23,0,0,0,0,0,0,0,0.24579310417175293,2.86102294921875e-06,[]
18:47:23,0,0,0,0,0,0,0,0.24738693237304688,2.384185791015625e-06,[]
18:47:23,0,0,0,0,0,0,0,0.2466905117034912,2.6226043701171875e-06,[]
18:47:24,0,0,0,0,0,0,0,0.25095629692077637,2.384185791015625e-06,[]
18:47:24,0,0,0,0,0,0,0,0.25271058082580566,3.0994415283203125e-06,[]
18:47:24,0,0,0,0,0,0,0,0.24651789665222168,2.86102294921875e-06,[]
18:47:24,0,0,0,0,0,0,0,0.16702628135681152,3.337860107421875e-06,[]
18:47:25,0,0,0,0,0,0,0,0.17824769020080566,2.384185791015625e-06,[]
18:47:25,0,0,0,0,0,0,0,0.25470447540283203,2.86102294921875e-06,[]
18:47:25,0,0,0,0,0,0,0,0.16556215286254883,2.86102294921875e-06,[]
18:47:25,0,0,0,0,0,0,0,0.14651250839233398,2.6226043701171875e-06,[]
18:47:26,0,0,0,0,0,0,0,0.24926447868347168,2.6226043701171875e-06,[]
18:47:26,0,0,0,0,0,0,0,0.2479696273803711,2.86102294921875e-06,[]
18:47:26,0,0,0,0,0,0,0,0.16820716857910156,2.86102294921875e-06,[]
18:47:26,0,0,0,0,0,0,0,0.15883779525756836,2.86102294921875e-06,[]
18:47:27,0,0,0,0,0,0,0,0.17088651657104492,2.1457672119140625e-06,[]
18:47:27,0,0,0,0,0,0,0,0.25158262252807617,2.6226043701171875e-06,[]
18:47:27,0,0,0,0,0,0,0,0.2468569278717041,2.86102294921875e-06,[]
18:47:28,0,0,0,0,0,0,0,0.23841381072998047,2.6226043701171875e-06,[]
18:47:28,0,0,0,0,0,0,0,0.16714096069335938,2.86102294921875e-06,[]
18:47:28,0,0,0,0,0,0,0,0.1695709228515625,2.6226043701171875e-06,[]
18:47:28,0,0,0,0,0,0,0,0.1791849136352539,2.6226043701171875e-06,[]
18:47:29,0,0,0,0,0,0,0,0.1627190113067627,2.86102294921875e-06,[]
18:47:29,0,0,0,0,0,0,0,0.1665947437286377,2.6226043701171875e-06,[]
18:47:29,0,0,0,0,0,0,0,0.16111159324645996,2.6226043701171875e-06,[]
18:47:29,0,0,0,0,0,0,0,0.16529345512390137,2.6226043701171875e-06,[]
18:47:29,0,0,0,0,0,0,0,0.17852330207824707,2.86102294921875e-06,[]
18:47:30,0,0,0,0,0,0,0,0.24055171012878418,2.86102294921875e-06,[]
18:47:30,0,0,0,0,0,0,0,0.24263882637023926,2.384185791015625e-06,[]
